"date","open","high","low","close","volume","adjClose","symbol"
"2013-01-02T00:00:00.000Z",34.92,35.4,34.1,35.12,13767900,32.71,"ABBV"
"2013-01-03T00:00:00.000Z",35,35,34.16,34.83,16739300,32.44,"ABBV"
"2013-01-04T00:00:00.000Z",34.62,34.89,34.25,34.39,21372100,32.03,"ABBV"
"2013-01-07T00:00:00.000Z",34.15,35.45,34.15,34.46,17897100,32.1,"ABBV"
"2013-01-08T00:00:00.000Z",34.29,34.64,33.36,33.71,17863300,31.4,"ABBV"
"2013-01-09T00:00:00.000Z",33.61,33.95,33.61,33.9,18800400,31.58,"ABBV"
"2013-01-10T00:00:00.000Z",33.66,34,33.33,34,15658100,31.67,"ABBV"
"2013-01-11T00:00:00.000Z",33.59,33.9,33.35,33.85,11191500,31.91,"ABBV"
"2013-01-14T00:00:00.000Z",34.01,34.25,33.8,34.09,11584900,32.13,"ABBV"
"2013-01-15T00:00:00.000Z",33.71,34.72,33.71,34.6,13040200,32.61,"ABBV"
"2013-01-16T00:00:00.000Z",34.47,35.54,34.45,35.54,16512700,33.5,"ABBV"
"2013-01-17T00:00:00.000Z",35.75,36.7,35.75,36.42,14424800,34.33,"ABBV"
"2013-01-18T00:00:00.000Z",36.43,37.32,36.04,37.32,17842200,35.18,"ABBV"
"2013-01-22T00:00:00.000Z",36.98,37.25,35.93,36.42,15809700,34.33,"ABBV"
"2013-01-23T00:00:00.000Z",36.91,37.84,36.5,37.8,10981600,35.63,"ABBV"
"2013-01-24T00:00:00.000Z",37.79,38.52,37.23,37.46,11327100,35.31,"ABBV"
"2013-01-25T00:00:00.000Z",37.52,37.84,36.64,37.6,8934600,35.44,"ABBV"
"2013-01-28T00:00:00.000Z",37.65,37.87,36.71,36.89,7140100,34.77,"ABBV"
"2013-01-29T00:00:00.000Z",36.71,37.46,36.25,37.31,8838500,35.17,"ABBV"
"2013-01-30T00:00:00.000Z",36.81,37.53,36.81,36.93,10841800,34.81,"ABBV"
"2013-01-31T00:00:00.000Z",36.84,36.93,36.27,36.69,10720700,34.58,"ABBV"
"2013-02-01T00:00:00.000Z",36.84,37.2,36.52,37.18,9527500,35.05,"ABBV"
"2013-02-04T00:00:00.000Z",36.64,37.3,36.55,37.28,6348000,35.14,"ABBV"
"2013-02-05T00:00:00.000Z",37.42,37.73,37.18,37.2,7284400,35.06,"ABBV"
"2013-02-06T00:00:00.000Z",36.96,37.28,36.86,37.14,5738900,35.01,"ABBV"
"2013-02-07T00:00:00.000Z",37.57,37.57,35.8,36.42,9872500,34.33,"ABBV"
"2013-02-08T00:00:00.000Z",36.37,36.42,35.83,36.25,13858700,34.17,"ABBV"
"2013-02-11T00:00:00.000Z",36.13,36.18,35.75,35.85,6032100,33.79,"ABBV"
"2013-02-12T00:00:00.000Z",35.77,35.9,35.2,35.42,7473800,33.39,"ABBV"
